cat01_code,企業規模_基本,cat02_code,産業分類,cat03_code,性別_基本,cat04_code,年齢階級_基本,cat05_code,学歴_基本８区分（2020年～）,cat06_code,民・公区分,time_code,時間軸（2020～2023）,年齢(歳),勤続年数(年),所定内給与(千円),年間賞与(千円)
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,02,中学,02,民営事業所,2023000000,2023年,38.3,6.2,320.1,307.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,03,高校,02,民営事業所,2023000000,2023年,37.9,11.6,359.1,341.3
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,04,専門学校,02,民営事業所,2023000000,2023年,37.4,12.2,391.5,341.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,05,高専・短大,02,民営事業所,2023000000,2023年,37.8,13.0,347.9,317.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,06,大学,02,民営事業所,2023000000,2023年,37.5,10.3,435.4,401.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,07,大学院,02,民営事業所,2023000000,2023年,37.5,10.3,453.2,399.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,06,35～39歳,08,不明,02,民営事業所,2023000000,2023年,37.7,7.3,531.5,443.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,01,学歴計,02,民営事業所,2023000000,2023年,42.6,13.1,461.1,429.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,02,中学,02,民営事業所,2023000000,2023年,42.5,19.5,329.2,300.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,03,高校,02,民営事業所,2023000000,2023年,42.7,13.7,365.2,338.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,04,専門学校,02,民営事業所,2023000000,2023年,42.5,14.9,415.5,376.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,05,高専・短大,02,民営事業所,2023000000,2023年,42.2,13.2,370.4,344.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,06,大学,02,民営事業所,2023000000,2023年,42.5,12.7,479.5,449.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,07,大学院,02,民営事業所,2023000000,2023年,43.0,14.2,495.8,453.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,07,40～44歳,08,不明,02,民営事業所,2023000000,2023年,43.3,6.9,560.5,541.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,01,学歴計,02,民営事業所,2023000000,2023年,47.5,16.5,475.0,446.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,02,中学,02,民営事業所,2023000000,2023年,46.7,21.5,431.5,419.3
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,03,高校,02,民営事業所,2023000000,2023年,47.6,16.3,401.6,382.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,04,専門学校,02,民営事業所,2023000000,2023年,47.5,17.4,445.4,416.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,05,高専・短大,02,民営事業所,2023000000,2023年,47.6,17.5,369.2,350.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,06,大学,02,民営事業所,2023000000,2023年,47.5,16.3,494.0,463.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,07,大学院,02,民営事業所,2023000000,2023年,48.3,18.9,498.2,472.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,08,45～49歳,08,不明,02,民営事業所,2023000000,2023年,47.0,6.6,394.7,359.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,01,学歴計,02,民営事業所,2023000000,2023年,52.3,21.4,488.3,461.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,02,中学,02,民営事業所,2023000000,2023年,52.3,27.0,499.7,495.3
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,03,高校,02,民営事業所,2023000000,2023年,52.8,21.8,429.1,402.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,04,専門学校,02,民営事業所,2023000000,2023年,52.4,24.5,443.9,420.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,05,高専・短大,02,民営事業所,2023000000,2023年,52.1,24.4,425.3,400.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,06,大学,02,民営事業所,2023000000,2023年,52.2,19.9,522.7,496.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,07,大学院,02,民営事業所,2023000000,2023年,52.3,19.1,515.2,487.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,09,50～54歳,08,不明,02,民営事業所,2023000000,2023年,52.1,11.8,637.9,464.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,01,学歴計,02,民営事業所,2023000000,2023年,57.5,24.7,507.7,487.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,02,中学,02,民営事業所,2023000000,2023年,57.4,24.0,364.7,350.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,03,高校,02,民営事業所,2023000000,2023年,57.1,22.8,406.9,385.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,04,専門学校,02,民営事業所,2023000000,2023年,57.4,28.2,472.5,454.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,05,高専・短大,02,民営事業所,2023000000,2023年,57.7,17.0,429.0,407.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,06,大学,02,民営事業所,2023000000,2023年,57.5,24.6,539.5,521.3
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,07,大学院,02,民営事業所,2023000000,2023年,58.7,30.4,747.8,695.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,10,55～59歳,08,不明,02,民営事業所,2023000000,2023年,57.2,10.0,436.0,382.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,01,学歴計,02,民営事業所,2023000000,2023年,62.3,21.1,408.6,389.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,02,中学,02,民営事業所,2023000000,2023年,64.5,10.5,264.4,264.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,03,高校,02,民営事業所,2023000000,2023年,62.5,26.3,313.3,300.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,04,専門学校,02,民営事業所,2023000000,2023年,62.2,27.7,413.4,385.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,05,高専・短大,02,民営事業所,2023000000,2023年,61.9,21.4,382.1,350.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,06,大学,02,民営事業所,2023000000,2023年,62.3,18.7,441.0,423.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,07,大学院,02,民営事業所,2023000000,2023年,62.6,23.4,398.9,332.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,11,60～64歳,08,不明,02,民営事業所,2023000000,2023年,62.5,17.0,303.9,300.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,01,学歴計,02,民営事業所,2023000000,2023年,66.6,13.8,353.6,329.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,03,高校,02,民営事業所,2023000000,2023年,66.4,12.5,284.3,274.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,04,専門学校,02,民営事業所,2023000000,2023年,66.0,27.0,255.6,240.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,05,高専・短大,02,民営事業所,2023000000,2023年,68.4,5.1,208.8,206.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,06,大学,02,民営事業所,2023000000,2023年,66.1,16.0,400.5,365.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,07,大学院,02,民営事業所,2023000000,2023年,67.3,7.0,638.9,638.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,12,65～69歳,08,不明,02,民営事業所,2023000000,2023年,68.5,5.0,309.1,308.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,01,学歴計,02,民営事業所,2023000000,2023年,71.5,20.5,310.6,305.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,02,中学,02,民営事業所,2023000000,2023年,74.5,20.5,199.2,199.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,03,高校,02,民営事業所,2023000000,2023年,71.8,11.3,294.7,266.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,04,専門学校,02,民営事業所,2023000000,2023年,71.5,50.5,241.0,241.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,05,高専・短大,02,民営事業所,2023000000,2023年,73.9,36.5,297.0,292.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,06,大学,02,民営事業所,2023000000,2023年,71.4,11.5,354.5,350.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,13,70歳～,08,不明,02,民営事業所,2023000000,2023年,70.9,29.4,229.8,229.2
